title,notes,url,comment
Mammoth Cave,,https://www.google.com/maps/place/Mammoth+Cave/data=!4m2!3m1!1s0x8866032940e7f5b5:0xaad4a8c31e8abc0b,
New Joe's Bouldering Area,,https://www.google.com/maps/place/New+Joe's+Bouldering+Area/data=!4m2!3m1!1s0x874bff007d48212f:0x38967426f596c15a,
Terra Nova Climbing Area,,https://www.google.com/maps/place/Terra+Nova+Climbing+Area/data=!4m2!3m1!1s0x54c5eb0066b8e005:0xd1c5a94753a8ff41,
Hemingway Wall Climbing Area,,https://www.google.com/maps/place/Hemingway+Wall+Climbing+Area/data=!4m2!3m1!1s0x5370db001719dae1:0xde29a2042463e068,
Picnic Table Rock Climbing Wall,,https://www.google.com/maps/place/Picnic+Table+Rock+Climbing+Wall/data=!4m2!3m1!1s0x549c3f0045c211bf:0xb650a2b1db992a94,
Forestland Boulders,,https://www.google.com/maps/place/Forestland+Boulders/data=!4m2!3m1!1s0x549a4f005a334a0b:0xe39c87156a30d7d5,
U.S. Customs and Border Protection - Chief Mountain Summer Station,,https://www.google.com/maps/place/U.S.+Customs+and+Border+Protection+-+Chief+Mountain+Summer+Station/data=!4m2!3m1!1s0x536f49e434a14a93:0xbbc995e875d78aa1,
Canada Border Services Agency - Pacific Highway Port of Entry,,https://www.google.com/maps/place/Canada+Border+Services+Agency+-+Pacific+Highway+Port+of+Entry/data=!4m2!3m1!1s0x5485c41c678ff5a3:0x6265ec0d398436a6,
Eb & Bean SE,,https://www.google.com/maps/place/Eb+%26+Bean+SE/data=!4m2!3m1!1s0x5495a0842734cc35:0x152993d48856899b,
North Chickamauga Creek Gorge State Park,,https://www.google.com/maps/place/North+Chickamauga+Creek+Gorge+State+Park/data=!4m2!3m1!1s0x88608d9f88db0b25:0x1da2eb41971e1e2a,
Biscuit Head Asheville,,https://www.google.com/maps/place/Biscuit+Head/data=!4m2!3m1!1s0x8859f348b1bfa8dd:0x8adc12989a307d42,
Pirate's Cove Summersville Lake,,https://www.google.com/maps/place/Pirate's+Cove/data=!4m2!3m1!1s0x884eabae4b3324d1:0xe7fb578a6fbfc1e1,
New River Gorge Bridge,,https://www.google.com/maps/place/New+River+Gorge+Bridge/data=!4m2!3m1!1s0x884eb9511715f55d:0x9b1513d9c5fe9c46,
Portland International Raceway,,https://www.google.com/maps/place/Portland+International+Raceway/data=!4m2!3m1!1s0x5495a7d2f561461b:0x5b6dbd98e3a7a985,
Toutle Motorsports Park,,https://www.google.com/maps/place/Toutle+Motorsports+Park/data=!4m2!3m1!1s0x549403eb7cf93911:0x63798d4f10ab340e,
Mountain View Cycle Park,,https://www.google.com/maps/place/Mountain+View+Cycle+Park/data=!4m2!3m1!1s0x549584417b44df89:0xb2fe365a0ea19582,
Riverside Park Clackamas Oregon,,https://www.google.com/maps/place/Riverside+Park/data=!4m2!3m1!1s0x549575d8efd23d3d:0x91eef624e39e0214,
Alveare Winery,,https://www.google.com/maps/place/Alveare+Winery/data=!4m2!3m1!1s0x549077a90268a9d5:0x4d6071ab2addd27f,
Barney's Rubble,,https://www.google.com/maps/place/Barney's+Rubble/data=!4m2!3m1!1s0x549a4fa5a53aa985:0x99693a93543669ba,
Gingerbread Factory,,https://www.google.com/maps/place/Gingerbread+Factory/data=!4m2!3m1!1s0x549a4d8c9b30c2c7:0x61db88b3915663b5,
München Haus,,https://www.google.com/maps/place/M%C3%BCnchen+Haus/data=!4m2!3m1!1s0x549a4d8ca877543f:0xb906125406397e99,
The Huck at Pybus,,https://www.google.com/maps/place/The+Huck+at+Pybus/data=!4m2!3m1!1s0x549bcd7c294d1355:0x47339e4e06610129,
Northrup Point Trailhead,,https://www.google.com/maps/place/Northrup+Point+Trailhead/data=!4m2!3m1!1s0x549c3fab634fdd21:0xe590667fcb80a113,
Spokane Falls (Upper Falls),,https://www.google.com/maps/place/Spokane+Falls+(Upper+Falls)/data=!4m2!3m1!1s0x549e185f6e59752f:0xbba0d2bbdd2aa0e3,
Teleport Vintage,,https://www.google.com/maps/place/Teleport+Vintage/data=!4m2!3m1!1s0x549e19e23b9bff37:0x6cc6beb82771ea59,
Bruncheonette,,https://www.google.com/maps/place/Bruncheonette/data=!4m2!3m1!1s0x549e1858d601f5ad:0x668e81f5fdac6385,
Trail of the Cedars Nature Trailhead,,https://www.google.com/maps/place/Trail+of+the+Cedars+Nature+Trailhead/data=!4m2!3m1!1s0x5368a812d8bc25df:0x9b1e61b52b14724f,
Hidden Lake Trailhead,,https://www.google.com/maps/place/Hidden+Lake+Trailhead/data=!4m2!3m1!1s0x5368af56e3a1ae33:0x903425f0a3cefe8d,
Hidden Lake Overlook,,https://www.google.com/maps/place/Hidden+Lake+Overlook/data=!4m2!3m1!1s0x5368a90014b89137:0x5f3e8d46feb8fbe7,
Sun Point Nature Trail,,https://www.google.com/maps/place/Sun+Point+Nature+Trail/data=!4m2!3m1!1s0x5368a4d549f180ed:0xe4d71c7b5f91b87a,
Wild Goose Island Lookout,,https://www.google.com/maps/place/Wild+Goose+Island+Lookout/data=!4m2!3m1!1s0x5368baff26251a21:0x657e308173ce9f9c,
Many Glacier Hotel,,https://www.google.com/maps/place/Many+Glacier+Hotel/data=!4m2!3m1!1s0x5368a612427c77f7:0xd8537917ee3bb6f,
"Cameron Lake day use area, Waterton Lakes National Park",,"https://www.google.com/maps/place/Cameron+Lake+day+use+area,+Waterton+Lakes+National+Park/data=!4m2!3m1!1s0x536f59697c5ad80b:0x405a848465dfe13f",
Lineham Falls Trailhead,,https://www.google.com/maps/place/Lineham+Falls+Trailhead/data=!4m2!3m1!1s0x536f5df75dfa99e9:0xfd3c380f68d3f747,
Wieners of Waterton,,https://www.google.com/maps/place/Wieners+of+Waterton/data=!4m2!3m1!1s0x536f44ca6b0c5797:0xed67955363db1911,
Saddle Mountain Tire,,https://www.google.com/maps/place/Saddle+Mountain+Tire/data=!4m2!3m1!1s0x5371ddb2efab0d51:0x889a913e848e6fd0,
Stephen Avenue Walk,,https://www.google.com/maps/place/Stephen+Avenue+Walk/data=!4m2!3m1!1s0x53716ffcd403e2cf:0x357963907d8a4b6f,
Cave and Basin National Historic Site,,https://www.google.com/maps/place/Cave+and+Basin+National+Historic+Site/data=!4m2!3m1!1s0x5370ca6b9ae405bf:0xa9b292141d3c34d2,
Heart Creek Trail,,https://www.google.com/maps/place/Heart+Creek+Trail/data=!4m2!3m1!1s0x5370dd95392d1df9:0x3f5003d90617eb59,
Grotto Canyon Trail Head,,https://www.google.com/maps/place/Grotto+Canyon+Trail+Head/data=!4m2!3m1!1s0x5370db5ace555555:0x744cdb1c2cf70ae2,
Grotto Canyon Icefall,,https://www.google.com/maps/place/Grotto+Canyon+Icefall/data=!4m2!3m1!1s0x5370dbe78de63427:0x747e6af0a7115b04,
Rundle6,,https://www.google.com/maps/place/Rundle6/data=!4m2!3m1!1s0x5370c89fb10caeed:0x335877b061143b22,
Harvest Cafe Canmore,,https://www.google.com/maps/place/Harvest+Cafe/data=!4m2!3m1!1s0x5370c5eb6985a1b5:0x2c9bf685f847bd40,
East End of Rundle,,https://www.google.com/maps/place/East+End+of+Rundle/data=!4m2!3m1!1s0x5370c6177e9485cd:0x481a79a9d72b3d1f,
Hoodoos Viewpoint,,https://www.google.com/maps/place/Hoodoos+Viewpoint/data=!4m2!3m1!1s0x5370cb9662182239:0xf2477572c944b3e5,
Hello Sunshine Sushi & Karaoke,,https://www.google.com/maps/place/Hello+Sunshine+Sushi+%26+Karaoke/data=!4m2!3m1!1s0x5370cb22732a37cf:0xa6df86cdd09b65c7,
Banff Upper Hot Springs,,https://www.google.com/maps/place/Banff+Upper+Hot+Springs/data=!4m2!3m1!1s0x5370ca1fff7ffd63:0xfbbe22e3b370c766,
"Johnston Canyon, Lower Falls",,"https://www.google.com/maps/place/Johnston+Canyon,+Lower+Falls/data=!4m2!3m1!1s0x53774bfa12057b51:0x8576a8ab579a9b5a",
Ink Pots,,https://www.google.com/maps/place/Ink+Pots/data=!4m2!3m1!1s0x53774bd64c89f157:0xc10ec5d0be929101,
Moraine Lake Rockpile Trail,,https://www.google.com/maps/place/Moraine+Lake+Rockpile+Trail/data=!4m2!3m1!1s0x53775b8d5b3292eb:0xcc7e3984b25a9e3,
Moraine Lake,,https://www.google.com/maps/place/Moraine+Lake/data=!4m2!3m1!1s0x53775bcbf58ee517:0x42c8a7a2c3c05c95,
Tower of Babel Moraine Lake,,https://www.google.com/maps/place/Tower+of+Babel/data=!4m2!3m1!1s0x53775bb40b6f8523:0xd078f391df61c739,
Lake Louise,,https://www.google.com/maps/place/Lake+Louise/data=!4m2!3m1!1s0x53775d06ca4e0049:0xda5dd5e9e31ca6ef,
HI Lake Louise Alpine Centre,,https://www.google.com/maps/place/HI+Lake+Louise+Alpine+Centre/data=!4m2!3m1!1s0x53775d36e76c44cd:0x909811d4b63f1b2f,
Mistaya Canyon Trail Head,,https://www.google.com/maps/place/Mistaya+Canyon+Trail+Head/data=!4m2!3m1!1s0x53778f2562d19331:0xfc7f676a5faed387,
Saskatchewan River Crossing,,https://www.google.com/maps/place/Saskatchewan+River+Crossing/data=!4m2!3m1!1s0x53778df2e81a7241:0x7a37b1e68fac4637,
Peyto Lake Upper Viewpoint,,https://www.google.com/maps/place/Peyto+Lake+Upper+Viewpoint/data=!4m2!3m1!1s0x5377793a8c90468f:0x2513fddaa0f8601,
Bow Glacier Falls,,https://www.google.com/maps/place/Bow+Glacier+Falls/data=!4m2!3m1!1s0x537779ca56922887:0xa4dbc3fdec5c20d2,
Wapta Falls,,https://www.google.com/maps/place/Wapta+Falls/data=!4m2!3m1!1s0x5379efdae76ded57:0x1c86942133a6c270,
Sir Donald Trail,,https://www.google.com/maps/place/Sir+Donald+Trail/data=!4m2!3m1!1s0x5379a76e7d3b490f:0x8d376bd5a5e81042,
Halfway Hot Springs,,https://www.google.com/maps/place/Halfway+Hot+Springs/data=!4m2!3m1!1s0x537bf75cae043f63:0x9f66309e8a94d588,
Galena Bay Ferry Terminal (Upper Arrow Lake ferry),,https://www.google.com/maps/place/Galena+Bay+Ferry+Terminal+(Upper+Arrow+Lake+ferry)/data=!4m2!3m1!1s0x537bfc32a3451979:0xc5b66b8ed68ce571,
Blanket Creek Provincial Park Washroom ,,https://www.google.com/maps/place/Washroom/data=!4m2!3m1!1s0x53794f7efa3b3e9f:0x5d92fb8090e61eb4,
Terravita Kitchen,,https://www.google.com/maps/place/Terravita+Kitchen/data=!4m2!3m1!1s0x53793728a73bdf49:0xb29b35497e5e6037,
Hello Toast,,https://www.google.com/maps/place/Hello+Toast/data=!4m2!3m1!1s0x537e2dab0c46b693:0xe5e29b9ef618fdba,
Kamloops Regional Farmers' Market,,https://www.google.com/maps/place/Kamloops+Regional+Farmers'+Market/data=!4m2!3m1!1s0x537e2c5497ddb00b:0xf89a9c17353036cd,
Whistler,,https://www.google.com/maps/place/Whistler/data=!4m2!3m1!1s0x54873cb203957b87:0x4ab741e875f5cff6,
Garibaldi Lake,,https://www.google.com/maps/place/Garibaldi+Lake/data=!4m2!3m1!1s0x54871de627a17cc9:0x913f7329f4571920,
Brohm Lake Day Use Recreational Site,,https://www.google.com/maps/place/Brohm+Lake+Day+Use+Recreational+Site/data=!4m2!3m1!1s0x5486fc4e75b36629:0x9c0c7cd52345ecdc,
Smoke Bluffs Park,,https://www.google.com/maps/place/Smoke+Bluffs+Park/data=!4m2!3m1!1s0x5486f839d42f1c3f:0xa1f887ebda0e014,
Climb On Equipment,,https://www.google.com/maps/place/Climb+On+Equipment/data=!4m2!3m1!1s0x5486f83e08a7dd41:0x90d7083d109761ab,
Squamish Public Library,,https://www.google.com/maps/place/Squamish+Public+Library/data=!4m2!3m1!1s0x5486f816de307191:0x7d1ce8406f33ec0e,
Fox & Oak,,https://www.google.com/maps/place/Fox+%26+Oak/data=!4m2!3m1!1s0x5486f9ab665d021d:0x3b671988ad07adfb,
Sp'akw'us Feather Park,,https://www.google.com/maps/place/Sp'akw'us+Feather+Park/data=!4m2!3m1!1s0x5486f908d5a67555:0xde3e8b6500077306,
Apron Trail,,https://www.google.com/maps/place/Apron+Trail/data=!4m2!3m1!1s0x5486f7f857e978f3:0xb42221c2a3c391d9,
Murrin Provincial Park,,https://www.google.com/maps/place/Murrin+Provincial+Park/data=!4m2!3m1!1s0x548659ca6efa203f:0xe923f475b81205fc,
Shannon Falls,,https://www.google.com/maps/place/Shannon+Falls/data=!4m2!3m1!1s0x54865908f8083ab1:0x428e3cbbde62eb94,
Porteau Cove Provincial Park,,https://www.google.com/maps/place/Porteau+Cove+Provincial+Park/data=!4m2!3m1!1s0x54865c7bd72a1287:0x3919a32786f12c10,
Ancora Waterfront Dining and Patio - Ambleside,,https://www.google.com/maps/place/Ancora+Waterfront+Dining+and+Patio+-+Ambleside/data=!4m2!3m1!1s0x54866f2fd3d492d5:0x3c4ebe2b6013a07d,
Cascade Falls Orcas Island,,https://www.google.com/maps/place/Cascade+Falls/data=!4m2!3m1!1s0x5485856d887f60bf:0x2b2d7077d570beae,
Cascade Lake Orcas Island,,https://www.google.com/maps/place/Cascade+Lake/data=!4m2!3m1!1s0x548585a9f17eed3f:0x6b9eb2179892d3d1,
Doe Island Marine State Park,,https://www.google.com/maps/place/Doe+Island+Marine+State+Park/data=!4m2!3m1!1s0x548584a2cf835e2f:0x6cd429b66683289f,
Doe Bay Resort & Retreat,,https://www.google.com/maps/place/Doe+Bay+Resort+%26+Retreat/data=!4m2!3m1!1s0x548584b73585e8a1:0xcd8d31b99d0bfe72,
Mt. Constitution,,https://www.google.com/maps/place/Mt.+Constitution/data=!4m2!3m1!1s0x54858547cbc836c1:0x566216abb98fc431,
Ladybug Pizza,,https://www.google.com/maps/place/Ladybug+Pizza/data=!4m2!3m1!1s0x54858f491af9ace7:0x92532eb772ba166b,
North Valley Overlook,,https://www.google.com/maps/place/North+Valley+Overlook/data=!4m2!3m1!1s0x54858fd3df22c575:0xbf50e2560fa00c31,
Deer Harbor Marina,,https://www.google.com/maps/place/Deer+Harbor+Marina/data=!4m2!3m1!1s0x548587c7b019c535:0x5eac731872640d34,
Blue Kingdom Whale & Wildlife Tours,,https://www.google.com/maps/place/Blue+Kingdom+Whale+%26+Wildlife+Tours/data=!4m2!3m1!1s0x548579f471f1191b:0x4cb2bee09d8f145f,
Washington Park Overlook,,https://www.google.com/maps/place/Washington+Park+Overlook/data=!4m2!3m1!1s0x54857910354246c5:0x2465dd213b9bea26,
Anacortes Ferry Terminal,,https://www.google.com/maps/place/Anacortes+Ferry+Terminal/data=!4m2!3m1!1s0x54857910815116b9:0x305bf4a6fa11eda6,
Secret Cove,,https://www.google.com/maps/place/Secret+Cove/data=!4m2!3m1!1s0x5485775f7d13ea71:0xcaaf5fc8f91ccf77,
Lighthouse Point Deception Pass,,https://www.google.com/maps/place/Lighthouse+Point/data=!4m2!3m1!1s0x54857d006e5466ef:0x24ad55fb4a7db0f2,
Deception Pass State Park,,https://www.google.com/maps/place/Deception+Pass+State+Park/data=!4m2!3m1!1s0x54857caeb43d67b5:0xa32ccd675fe1a55f,
Bayview Farmers Market,,https://www.google.com/maps/place/Bayview+Farmers+Market/data=!4m2!3m1!1s0x548ff930ccf1c8dd:0x3f8c06b195fd9dcd,
Mukilteo Ferry Terminal,,https://www.google.com/maps/place/Mukilteo+Ferry+Terminal/data=!4m2!3m1!1s0x549001f4a6925f37:0x812460c469e3638,
Bear River Casino Resort,,https://www.google.com/maps/place/Bear+River+Casino+Resort/data=!4m2!3m1!1s0x54d40ff4ae60c99b:0x6a6cc8c810565e7e,
Excelsior Pass Trailhead,,https://www.google.com/maps/place/Excelsior+Pass+Trailhead/data=!4m2!3m1!1s0x54845963741a121d:0xe88560630bdc8792,
Mt. Baker Ski Area - Heather Meadows Base Area,,https://www.google.com/maps/place/Mt.+Baker+Ski+Area+-+Heather+Meadows+Base+Area/data=!4m2!3m1!1s0x5484f615f646e587:0xc980e5ffe9e7beb2,
Artist Point Mt. Baker,,https://www.google.com/maps/place/Artist+Point/data=!4m2!3m1!1s0x8096ec36a6c8ce33:0x167733863952c99b,
Kaffeehaus de Châtillon,,https://www.google.com/maps/place/Kaffeehaus+de+Ch%C3%A2tillon/data=!4m2!3m1!1s0x549005b452472c63:0x8147bae7a43668de,
Heybrook Lookout,,https://www.google.com/maps/place/Heybrook+Lookout/data=!4m2!3m1!1s0x549a94377487dfc5:0xa17d6fb53f3e1e25,
Index Town Walls Parking Area,,https://www.google.com/maps/place/Index+Town+Walls+Parking+Area/data=!4m2!3m1!1s0x549a96777f4a330b:0x50920fa80df9a8ee,
Kabob Korner,,https://www.google.com/maps/place/Kabob+Korner/data=!4m2!3m1!1s0x549aa6f61b454a45:0xc2d44f7be0c9141e,
Pike Place Market,,https://www.google.com/maps/place/Pike+Place+Market/data=!4m2!3m1!1s0x54906ab2c151d6cb:0x60441d5f633e9f1c,
Zen ramen & sushi burrito,,https://www.google.com/maps/place/Zen+ramen+%26+sushi+burrito/data=!4m2!3m1!1s0x54910b0a26854e07:0xe302965ecf1d3cba,
Sauvie Island,,https://www.google.com/maps/place/Sauvie+Island/data=!4m2!3m1!1s0x5495ab6bd002f643:0x86f81fb43b70de46,
McMenamins Edgefield,,https://www.google.com/maps/place/McMenamins+Edgefield/data=!4m2!3m1!1s0x5495a2ae617645a7:0x9975eb0f90219342,
Pendleton Rest Stop,,https://www.google.com/maps/place/Pendleton+Rest+Stop/data=!4m2!3m1!1s0x54a31d5c01b58937:0xdb5309c3dae25202,
Castle Rocks State Park,,https://www.google.com/maps/place/Castle+Rocks+State+Park/data=!4m2!3m1!1s0x80aa4164f88ca355:0x73f489930c5ce030,
City of Rocks National Reserve,,https://www.google.com/maps/place/City+of+Rocks+National+Reserve/data=!4m2!3m1!1s0x80aa46fbd3ba79cd:0xd46a16246ae9ffaf,
Sugar House Coffee,,https://www.google.com/maps/place/Sugar+House+Coffee/data=!4m2!3m1!1s0x87528aa6c8c0b66f:0xd04ad004922c337c,
American Fork Canyon,,https://www.google.com/maps/place/American+Fork+Canyon/data=!4m2!3m1!1s0x874d8750c61fdc9b:0xfea529a411b0148d,
Crater Lake National Park,,https://www.google.com/maps/place/Crater+Lake+National+Park/data=!4m2!3m1!1s0x54c6170840e5e339:0x902bf2e1452fe3a3,
Wizard Island,,https://www.google.com/maps/place/Wizard+Island/data=!4m2!3m1!1s0x54c63e6bf1f0108b:0xef47484abc934dd2,
Pluto's Cave,,https://www.google.com/maps/place/Pluto's+Cave/data=!4m2!3m1!1s0x54ce6548357e6055:0x3ecc08c74c586535,
Headwaters Spring,,https://www.google.com/maps/place/Headwaters+Spring/data=!4m2!3m1!1s0x54cde17d94d466ff:0x8dfbdbec31e4b02d,
Bunny Flat Trailhead,,https://www.google.com/maps/place/Bunny+Flat+Trailhead/data=!4m2!3m1!1s0x54cdde8719304255:0xc94f4b410516830c,
Castle Crag Lookout,,https://www.google.com/maps/place/Castle+Crag+Lookout/data=!4m2!3m1!1s0x54cd716c4f7ea5eb:0x3e02701c98c424a2,
Lake Shasta Caverns,,https://www.google.com/maps/place/Lake+Shasta+Caverns/data=!4m2!3m1!1s0x54d28762833f7983:0x55ea9a3bbd443904,
Lassen Peak,,https://www.google.com/maps/place/Lassen+Peak/data=!4m2!3m1!1s0x54cd525f7e74d583:0xc015df5712f33c88,
Lassen Volcanic National Park,,https://www.google.com/maps/place/Lassen+Volcanic+National+Park/data=!4m2!3m1!1s0x809d5607c14138bf:0x8f34d8a77a666742,
"USS Hornet - Sea, Air and Space Museum",,"https://www.google.com/maps/place/USS+Hornet+-+Sea,+Air+and+Space+Museum/data=!4m2!3m1!1s0x808f80fdaadf6441:0x3121f182fcf75f2e",
Wilder Beach,,https://www.google.com/maps/place/Wilder+Beach/data=!4m2!3m1!1s0x808e6a00c63f1aed:0xd4d4e751e4efaa99,
Henry Cowell Redwoods State Park,,https://www.google.com/maps/place/Henry+Cowell+Redwoods+State+Park/data=!4m2!3m1!1s0x808e46b69091be0d:0x63eb914b3b3f47a8,
Santa Cruz Beach Boardwalk,,https://www.google.com/maps/place/Santa+Cruz+Beach+Boardwalk/data=!4m2!3m1!1s0x808e40195645ec51:0x903bdc909334fa5,
The Base of the Nose Yosemite,,https://www.google.com/maps/place/The+Base+of+the+Nose/data=!4m2!3m1!1s0x8096edda8b919e13:0x189d057b8fba853b,
Lower Yosemite Fall Vista Point,,https://www.google.com/maps/place/Lower+Yosemite+Fall+Vista+Point/data=!4m2!3m1!1s0x8096f1f91c4d4215:0xb5b74c46b611149d,
Mirror Lake Yosemite,,https://www.google.com/maps/place/Mirror+Lake/data=!4m2!3m1!1s0x8096f236916543a7:0x5687cc7ce60c2cc7,
Sentinel Dome,,https://www.google.com/maps/place/Sentinel+Dome/data=!4m2!3m1!1s0x8096f268ef33bf1f:0x6137f8aa1cde2ac9,
Tuolumne Grove,,https://www.google.com/maps/place/Tuolumne+Grove/data=!4m2!3m1!1s0x8096c2b0b6220e2b:0xcdcf2ca67bec964f,
Dead Giant Tunnel Tree,,https://www.google.com/maps/place/Dead+Giant+Tunnel+Tree/data=!4m2!3m1!1s0x8096dd6a062d5c29:0xe6378fa605a6968b,
Tuolumne Meadows,,https://www.google.com/maps/place/Tuolumne+Meadows/data=!4m2!3m1!1s0x809659c81b685a59:0xaf3fa8fab18840ab,
Tenaya Lake,,https://www.google.com/maps/place/Tenaya+Lake/data=!4m2!3m1!1s0x8096f7a7f4265f6d:0xf93be30caa735e42,
Sonora Pass,,https://www.google.com/maps/place/Sonora+Pass/data=!4m2!3m1!1s0x80976dbaed2fc139:0xe5dfc2ec27537987,
Kennedy Meadows Resort & Packstation,,https://www.google.com/maps/place/Kennedy+Meadows+Resort+%26+Packstation/data=!4m2!3m1!1s0x8090c5d1a3f07135:0x80920ac6b67123b5,
Buckeye Hot Spring,,https://www.google.com/maps/place/Buckeye+Hot+Spring/data=!4m2!3m1!1s0x8097a6780c9840d5:0xefd06138d94d9f4e,
Annett's Mono Village,,https://www.google.com/maps/place/Annett's+Mono+Village/data=!4m2!3m1!1s0x8097a9afa7d9d4f9:0x7c9dd3a7af030353,
Horsetail Waterfall,,https://www.google.com/maps/place/Horsetail+Waterfall/data=!4m2!3m1!1s0x80966b6512818c71:0xa83d3a73697b7433,
Inyo Craters,,https://www.google.com/maps/place/Inyo+Craters/data=!4m2!3m1!1s0x8096128d512a84b7:0x943d076d477aafb,
Cottonwood Lakes Trailhead,,https://www.google.com/maps/place/Cottonwood+Lakes+Trailhead/data=!4m2!3m1!1s0x80c07637da8049c7:0x39c1e58be4f20f68,
Twenty Mule Team Canyon,,https://www.google.com/maps/place/Twenty+Mule+Team+Canyon/data=!4m2!3m1!1s0x80c717b7bbcd6ab7:0xe6d05cf6448f1251,
Desert Campsite The Pads,,https://www.google.com/maps/place/Desert+Campsite+The+Pads/data=!4m2!3m1!1s0x80c704d6359bb7ab:0x7de28f673f0437f8,
Sphere,,https://www.google.com/maps/place/Sphere/data=!4m2!3m1!1s0x80c8c582817d8b43:0x42c18a9883e056ef,
The Desert Rat,,https://www.google.com/maps/place/The+Desert+Rat/data=!4m2!3m1!1s0x80ca44c3c9260cc3:0x21e676c15534ff53,
Wire Pass Trailhead,,https://www.google.com/maps/place/Wire+Pass+Trailhead/data=!4m2!3m1!1s0x8734f0388e6c0ce7:0x104ac785f3fd2654,
San Rafael River Swinging Bridge,,https://www.google.com/maps/place/San+Rafael+River+Swinging+Bridge/data=!4m2!3m1!1s0x8749157fc0d6df31:0xdced50a05e3ae75f,
Furniture Draw Buckhorn Draw,,https://www.google.com/maps/place/Furniture+Draw/data=!4m2!3m1!1s0x8749474425a2e163:0xc72d8ecf56bfb2ee,
Rochester Panel,,https://www.google.com/maps/place/Rochester+Panel/data=!4m2!3m1!1s0x874bddf8a4cca783:0xab3626347b212a,
Maple Canyon Arch,,https://www.google.com/maps/place/Maple+Canyon+Arch/data=!4m2!3m1!1s0x874c5dff4ca3901b:0x2be97b811144738,
