"category","on_peak","mid_peak","off_peak"
"2",1.57,0.812,11.522
"3",1.82,3.024,7.341
"4",0,0,18.016
"5",0,0,17.328
"6",2.144,1.058,6.829
"7",3.578,2.134,6.412
"8",1.354,1.108,8.111
"9",2.074,0.773,8.73
"10",2.917,1.063,8.022
"11",0,0,5.751
"12",0,0,5.943
"13",1.563,0.731,9.746
"14",1.784,0.264,8.924
"15",1.442,0.91,5.609
"16",3.115,1.008,9.985
"17",5.701,0.652,9.941
"18",0,0,11.716
"19",0,0,17.208
"20",0,0,10.677
"21",3.763,1.013,9.52
"22",4.784,1.11,12.221
"23",1.604,0.56,6.951
"24",1.416,0.603,5.281
"25",0,0,15
"26",0,0,13.632
"27",1.747,0.793,8.48
"28",1.873,0.705,4.929
"29",1.913,0.587,6.464
"30",1.296,0.785,6.675
"31",0.721,0.891,5.66